device,cycle_id,cycle_start,cycle_end,previous_maintenance_type,n_observed_days,span_days,slope_per_day,decline_rate_per_day,slope_ci_low,slope_ci_high,intercept
A2,0,2024-04-03,2024-06-03,观测起点,44,61.0,-0.3274090188560792,0.3274090188560792,-0.3479820593339177,-0.31283211823171697,80.00518060838893
A2,1,2024-06-05,2024-08-15,中维护,72,71.0,-0.28490983257830094,0.28490983257830094,-0.3090764053487524,-0.25894645331637184,81.6813751423143
A2,2,2024-08-17,2024-11-02,中维护,76,77.0,-0.16205098395194006,0.16205098395194006,-0.16946808137770952,-0.15411987651998493,83.3918761035322
A2,3,2024-11-04,2024-12-31,中维护,56,57.0,-0.2795170664276515,0.2795170664276515,-0.28818405059018914,-0.26837708543579797,91.97240632295188
A2,4,2025-01-02,2025-02-19,中维护,44,48.0,-0.4757492052622939,0.4757492052622939,-0.4861773531913261,-0.4640627772391042,89.24533702371707
A2,5,2025-02-21,2025-04-06,中维护,44,44.0,-0.4153490704000562,0.4153490704000562,-0.430873277428977,-0.4020014588382551,85.73447289481382
A2,6,2025-04-08,2025-05-27,中维护,49,49.0,-0.3616236142259104,0.3616236142259104,-0.38547088749373754,-0.3473000017826518,84.6311738448171
A2,7,2025-05-29,2025-07-20,中维护,53,52.0,-0.37172000960386375,0.37172000960386375,-0.3856705335867928,-0.3539659029220153,79.0017418149015
A2,8,2025-07-22,2025-10-05,中维护,74,75.0,-0.23945807599456342,0.23945807599456342,-0.25676271248740623,-0.2165591218095267,80.68759248263468
A2,9,2025-10-07,2025-12-09,大维护,64,63.0,-0.2867652371779378,0.2867652371779378,-0.30168327471016043,-0.27467080182937853,76.98984199063128
A2,10,2025-12-11,2026-01-28,大维护,47,48.0,-0.45997332109013106,0.45997332109013106,-0.4847503849292226,-0.43956896747199203,77.07849697487235
A2,11,2026-01-30,2026-03-11,大维护,39,40.0,-0.6717321921011676,0.6717321921011676,-0.7092983134599459,-0.6464017063006077,71.97638287633939
A2,12,2026-03-13,2026-04-10,中维护,29,28.0,-0.47643741144526763,0.47643741144526763,-0.49481683718359665,-0.44659466156912053,62.226544606369416
A3,0,2024-04-04,2024-05-28,观测起点,41,54.0,-0.3289617359783291,0.3289617359783291,-0.35320700039674574,-0.313632205340222,127.77788801039567
A3,1,2024-06-03,2024-07-17,中维护,45,44.0,-0.3435657106442873,0.3435657106442873,-0.3596588645245449,-0.32587714185580147,117.92017595349664
A3,2,2024-07-19,2024-09-29,中维护,73,72.0,-0.3140074608448027,0.3140074608448027,-0.33663501526455325,-0.2889130739720621,111.09987401100585
A3,3,2024-10-05,2024-11-29,中维护,55,55.0,-0.2495341373996106,0.2495341373996106,-0.2561269184552278,-0.24289438394626936,91.49501315932632
A3,4,2024-12-01,2025-01-16,中维护,46,46.0,-0.3882470110941975,0.3882470110941975,-0.3938956596904311,-0.3804401443269661,100.74728689662204
A3,5,2025-01-18,2025-03-04,中维护,43,45.0,-0.5807404013072374,0.5807404013072374,-0.5935385251886299,-0.5693041415714978,107.3452177873673
A3,6,2025-03-06,2025-05-05,中维护,60,60.0,-0.3318078568249897,0.3318078568249897,-0.3380244595591195,-0.326122176914663,99.56285906085267
A3,7,2025-05-09,2025-07-01,中维护,54,53.0,-0.35371461151403905,0.35371461151403905,-0.3617004351404132,-0.34358233029517277,100.73295816452874
A3,8,2025-07-03,2025-09-14,大维护,74,73.0,-0.21962021868738335,0.21962021868738335,-0.2304160959797949,-0.20918856129967212,92.45607179636367
A3,9,2025-09-16,2025-11-16,中维护,62,61.0,-0.29954874163327455,0.29954874163327455,-0.3080175337196837,-0.2921119689413892,105.42493922599769
A3,10,2025-11-18,2026-01-19,大维护,62,62.0,-0.516119208263249,0.516119208263249,-0.5224623664266997,-0.5080599275725604,107.53087096692772
A3,11,2026-01-21,2026-02-23,中维护,34,33.0,-0.841135906432424,0.841135906432424,-0.8589330117010486,-0.8176793455994569,100.70325631194478
A3,12,2026-02-25,2026-04-04,中维护,39,38.0,-0.3392867767971187,0.3392867767971187,-0.35776621303295914,-0.31836220542018623,89.08945874854518
A4,0,2024-04-03,2024-05-27,观测起点,40,54.0,-0.34157799973879927,0.34157799973879927,-0.3534695582325689,-0.33081196751384023,55.93120314908562
A4,1,2024-05-29,2024-07-15,中维护,42,47.0,-0.31957589093287403,0.31957589093287403,-0.3465816666328919,-0.29837790135150477,80.58161985170733
A4,2,2024-07-17,2024-09-20,中维护,64,65.0,-0.29178817725139294,0.29178817725139294,-0.3268004550347596,-0.26235059885415996,95.01159343163093
A4,3,2024-09-22,2024-11-19,中维护,57,58.0,-0.2775887222608042,0.2775887222608042,-0.28856725187552323,-0.2633189953115213,93.62358562163851
A4,4,2024-11-21,2025-01-17,中维护,53,57.0,-0.4239202670844542,0.4239202670844542,-0.4669632948508974,-0.379842513954739,99.83882720941892
A4,5,2025-01-19,2025-02-19,中维护,28,31.0,-0.4082681554662402,0.4082681554662402,-0.4394464064922943,-0.38934716715152107,114.3573876286477
A4,6,2025-02-21,2025-04-09,中维护,47,47.0,-0.37271810347274686,0.37271810347274686,-0.3801269985158998,-0.3643518297972633,122.0952486609046
A4,7,2025-04-11,2025-06-03,中维护,47,53.0,-0.29095678525487634,0.29095678525487634,-0.3043326665198252,-0.28002455563982037,112.02864573503086
A4,8,2025-06-05,2025-08-05,中维护,62,61.0,-0.32144634089455676,0.32144634089455676,-0.33392718620442174,-0.30758829771149865,104.03395859725698
A4,9,2025-08-07,2025-10-09,中维护,61,63.0,-0.2941915172405638,0.2941915172405638,-0.31170300273455137,-0.27920573786885255,110.30623206827016
A4,10,2025-10-11,2025-12-08,中维护,59,58.0,-0.1767771086824754,0.1767771086824754,-0.18516177296362457,-0.16925062991477177,96.4821916325034
A4,11,2025-12-10,2026-01-20,中维护,41,41.0,-0.44704586569186455,0.44704586569186455,-0.4595936126796668,-0.43671535535529316,110.09275761498749
A4,12,2026-01-22,2026-03-11,中维护,48,48.0,-0.5648104257860044,0.5648104257860044,-0.5763635418677105,-0.5501478240065261,123.3608420231104
A4,13,2026-03-13,2026-04-10,中维护,27,28.0,-0.34836937610529006,0.34836937610529006,-0.3631841268133672,-0.33118512715934784,125.19322948307567
A5,0,2024-04-03,2024-05-18,观测起点,31,45.0,-0.3662116400749958,0.3662116400749958,-0.3907265912370314,-0.3312905552944542,116.36156841949625
A5,1,2024-05-20,2024-07-17,中维护,58,58.0,-0.33346530205747116,0.33346530205747116,-0.35144234147058456,-0.31714874999114545,116.61341701529568
A5,2,2024-07-19,2024-09-20,中维护,63,63.0,-0.15445500374462243,0.15445500374462243,-0.16951091209007021,-0.13827074077120313,103.6173221160129
A5,3,2024-09-22,2024-11-23,大维护,61,62.0,-0.09824290533932889,0.09824290533932889,-0.11586494618101757,-0.08323200132103203,95.41772963192174
A5,4,2024-11-25,2025-01-20,中维护,57,56.0,-0.3849429544827755,0.3849429544827755,-0.4243065227781746,-0.3550755500701612,126.40392551893132
A5,5,2025-01-22,2025-02-24,中维护,30,33.0,-0.6057847214324332,0.6057847214324332,-0.669565931074267,-0.5604454635269288,135.19940787284173
A5,6,2025-02-26,2025-04-14,中维护,47,47.0,-0.40443078368975527,0.40443078368975527,-0.4113937529943389,-0.3999955626675308,121.84321852507993
A5,7,2025-04-16,2025-06-13,中维护,59,58.0,-0.5048804527729037,0.5048804527729037,-0.517121532874062,-0.4926355400466304,110.98055674762469
A5,8,2025-06-15,2025-08-18,中维护,65,64.0,-0.3284123774860604,0.3284123774860604,-0.34404777703011485,-0.3122829026273261,97.64357830767102
A5,9,2025-08-20,2025-11-05,中维护,75,77.0,-0.3728350257794167,0.3728350257794167,-0.38502337671099746,-0.3598537062487552,84.1090040106808
A5,10,2025-11-07,2026-01-07,中维护,62,61.0,-0.35667416578713634,0.35667416578713634,-0.36536275164887827,-0.34868453631974317,74.50147402656141
A5,11,2026-01-09,2026-02-25,中维护,48,47.0,-0.6773607678364767,0.6773607678364767,-0.6909327358832424,-0.6667154091552394,81.22102869798138
A5,12,2026-02-27,2026-04-02,中维护,35,34.0,-0.4082201670446243,0.4082201670446243,-0.42334483621917285,-0.3896037562443695,70.09118319427473
A6,0,2024-04-04,2024-06-05,观测起点,47,62.0,-0.3679559645298034,0.3679559645298034,-0.3782953345461708,-0.3592529151907883,54.87644309781108
A6,1,2024-06-07,2024-08-26,中维护,80,80.0,-0.2670544340673393,0.2670544340673393,-0.28005625680279644,-0.25517503051585444,57.400055078474864
A6,2,2024-08-28,2024-11-04,中维护,66,68.0,-0.34326218998357116,0.34326218998357116,-0.3534743441147295,-0.3275448129193421,64.21243482555732
A6,3,2024-11-08,2024-12-30,大维护,48,52.0,-0.3875333480659694,0.3875333480659694,-0.3997856681604431,-0.3750569748515152,63.933669024524626
A6,4,2025-01-01,2025-02-18,中维护,46,48.0,-0.4999504452093128,0.4999504452093128,-0.5134137355724817,-0.48563496326629907,85.70932808857242
A6,5,2025-02-20,2025-04-10,大维护,50,49.0,-0.4403113280594946,0.4403113280594946,-0.45004034705854473,-0.43004639223440005,84.5065399893077
A6,6,2025-04-12,2025-06-03,中维护,48,52.0,-0.3985752736525012,0.3985752736525012,-0.41222213740452307,-0.38279807340912664,89.67859012307227
A6,7,2025-06-05,2025-08-22,中维护,78,78.0,-0.3113528102081078,0.3113528102081078,-0.3222346233566915,-0.2987801682133748,91.01764696350493
A6,8,2025-08-24,2025-11-01,中维护,69,69.0,-0.35523536828097946,0.35523536828097946,-0.37811172052248804,-0.3319988546720857,111.50640314601404
A6,9,2025-11-03,2026-01-02,中维护,60,60.0,-0.2847170839984505,0.2847170839984505,-0.29347918403367707,-0.2758527913652722,104.71603724875655
A6,10,2026-01-04,2026-02-14,中维护,42,41.0,-0.6984977957732389,0.6984977957732389,-0.7114244560646573,-0.6867715465070114,109.22161831308722
A6,11,2026-02-16,2026-03-24,中维护,37,36.0,-0.4392489834183431,0.4392489834183431,-0.46575859947983694,-0.4114258251332912,96.5191621080932
A6,12,2026-03-26,2026-04-10,中维护,16,15.0,-0.43985654828064435,0.43985654828064435,-0.5152026194040253,-0.36904219476691125,95.91393648022267
A7,0,2024-04-05,2024-05-17,观测起点,27,42.0,-0.3251114879210822,0.3251114879210822,-0.35054426237265,-0.31035203200671474,97.60426340334757
A7,1,2024-05-19,2024-07-03,中维护,45,45.0,-0.39479694121762343,0.39479694121762343,-0.4043899714638959,-0.384711571069559,94.22288089273036
A7,2,2024-07-05,2024-09-23,中维护,81,80.0,-0.2154742576423745,0.2154742576423745,-0.22873217829227777,-0.20021781788609003,93.03198922984853
A7,3,2024-09-25,2024-11-21,中维护,56,57.0,-0.3003924050742719,0.3003924050742719,-0.31044138472504895,-0.29084012519400304,109.94162559792584
A7,4,2024-11-23,2025-01-19,中维护,56,57.0,-0.33135568895427436,0.33135568895427436,-0.3438724222076935,-0.32224135916867014,111.86764199407186
A7,5,2025-01-21,2025-02-23,中维护,31,33.0,-0.4316272621099344,0.4316272621099344,-0.44704202224378686,-0.42319259837612194,93.25828118023108
A7,6,2025-02-25,2025-04-15,中维护,48,49.0,-0.37062755563563315,0.37062755563563315,-0.3782202611202226,-0.3651908659472224,108.11745255998716
A7,7,2025-04-17,2025-06-15,大维护,57,59.0,-0.2765968578431045,0.2765968578431045,-0.28170328600674693,-0.2715003286553828,108.4454224040094
A7,8,2025-06-17,2025-08-31,中维护,75,75.0,-0.2883057256171799,0.2883057256171799,-0.306183779045643,-0.27451390387281394,95.59470131724404
A7,9,2025-09-02,2025-10-17,中维护,46,45.0,-0.26691854885199917,0.26691854885199917,-0.28367953439036103,-0.2518898375734949,81.83890747084027
A7,10,2025-10-20,2025-12-21,中维护,62,62.0,-0.26898703148395114,0.26898703148395114,-0.29644765413911733,-0.23938316830752485,97.88581645664644
A7,11,2025-12-23,2026-02-07,中维护,46,46.0,-0.6471547007829415,0.6471547007829415,-0.6622640256650492,-0.6344891160408437,81.91817288800983
A7,12,2026-02-09,2026-03-24,大维护,41,43.0,-0.48541409308588823,0.48541409308588823,-0.5103114471232382,-0.4649939033282749,79.73210276818178
A7,13,2026-03-26,2026-04-10,中维护,16,15.0,-0.46473882564202285,0.46473882564202285,-0.5266074400685596,-0.428984052794473,76.60479281553135
A8,0,2024-04-06,2024-06-01,观测起点,43,56.0,-0.24959139294111773,0.24959139294111773,-0.25603663903544455,-0.24378883445159955,126.10514462179829
A8,1,2024-06-04,2024-08-09,中维护,65,66.0,-0.2552819277366148,0.2552819277366148,-0.26907464649173557,-0.24281629837309573,126.79181983088385
A8,2,2024-08-11,2024-10-30,中维护,81,80.0,-0.46046961508742046,0.46046961508742046,-0.4781578354264664,-0.4353607361106846,119.24635850019412
A8,3,2024-11-01,2025-01-02,中维护,62,62.0,-0.2007854216551633,0.2007854216551633,-0.21916120301993108,-0.18637525749196351,114.9645121661342
A8,4,2025-01-04,2025-02-12,中维护,35,39.0,-0.5144154411791307,0.5144154411791307,-0.5517590006393647,-0.49079090506964335,101.67692436407887
A8,5,2025-02-14,2025-03-26,中维护,41,40.0,-0.49491528179695743,0.49491528179695743,-0.5284318834799482,-0.4785943171863626,110.64758562676694
A8,6,2025-03-28,2025-05-12,中维护,44,45.0,-0.3794129200797931,0.3794129200797931,-0.38650521992061965,-0.3740707123967165,104.03617741193904
A8,7,2025-05-14,2025-07-05,中维护,53,52.0,-0.38310020006570755,0.38310020006570755,-0.4051772974507347,-0.3605544936696769,107.88187408459069
A8,8,2025-07-07,2025-09-07,中维护,63,62.0,-0.2869948546919978,0.2869948546919978,-0.2997388422441058,-0.2739801402311804,92.26548941470014
A8,9,2025-09-09,2025-11-02,中维护,55,54.0,-0.3345023454621045,0.3345023454621045,-0.34871114350218735,-0.32225446951356723,78.6731607934615
A8,10,2025-11-04,2025-12-27,中维护,50,53.0,-0.21455861489074046,0.21455861489074046,-0.2247584792648439,-0.2023489990236013,89.2270778732504
A8,11,2025-12-29,2026-02-08,中维护,41,41.0,-0.6449041272860666,0.6449041272860666,-0.6678348449040286,-0.6211569605848766,87.7547780571968
A8,12,2026-02-10,2026-03-30,中维护,48,48.0,-0.5309837497625329,0.5309837497625329,-0.5712292152173054,-0.4726325553016695,75.19635220243256
A9,0,2024-04-05,2024-05-29,观测起点,40,54.0,-0.32226786555214304,0.32226786555214304,-0.33667386855116466,-0.3106910541513228,91.54863399111282
A9,1,2024-05-31,2024-08-01,中维护,62,62.0,-0.32057567181453933,0.32057567181453933,-0.33533087951513907,-0.30490494067864443,99.54559066965943
A9,2,2024-08-03,2024-10-14,中维护,73,72.0,-0.13543132470702152,0.13543132470702152,-0.1497560168587318,-0.12063732962621525,89.91297603128419
A9,3,2024-10-16,2024-12-14,中维护,56,59.0,-0.20698691805446737,0.20698691805446737,-0.21436729742438398,-0.19857516784862586,97.7774088224198
A9,4,2024-12-16,2025-01-30,中维护,43,45.0,-0.6158718878059034,0.6158718878059034,-0.6401899571437184,-0.5946171678461241,95.04564190699514
A9,5,2025-02-04,2025-03-18,中维护,43,42.0,-0.5578906953649152,0.5578906953649152,-0.6012046539233613,-0.5122490675769151,92.60535227150248
A9,6,2025-03-20,2025-05-14,中维护,53,55.0,-0.3836593411218855,0.3836593411218855,-0.3909303873917484,-0.37858570130592867,88.76264362823865
A9,7,2025-05-16,2025-07-08,大维护,54,53.0,-0.3835308309431629,0.3835308309431629,-0.3935621996515629,-0.37460861785742017,84.15875615842168
A9,8,2025-07-10,2025-09-11,中维护,56,63.0,-0.1850172937414437,0.1850172937414437,-0.20780712370927928,-0.16763221250650379,79.20196673725181
A9,9,2025-09-13,2025-11-15,中维护,63,63.0,-0.2241616622584477,0.2241616622584477,-0.24772847798949355,-0.2034629632932009,85.96189124784901
A9,10,2025-11-17,2026-01-08,中维护,52,52.0,-0.41167812999535713,0.41167812999535713,-0.4299436610037645,-0.3998818375140232,95.70366011438868
A9,11,2026-01-10,2026-02-22,中维护,44,43.0,-0.558692186509397,0.558692186509397,-0.5921222198090056,-0.5315767679208747,85.7965667584792
A9,12,2026-02-24,2026-03-31,中维护,34,35.0,-0.33089441993201707,0.33089441993201707,-0.343078388445168,-0.314011859091778,88.09692228909323
